2023-01-01 00:00:00,Chandapura lake,"E (Irrigation, Industrial cooling & Controlled Waste)",…..,0.3(BDL),7.8,1938,98,7.4,,140000,270000,,3(BDL),444,16.4,5(BDL),444,328,356,26.3,21.2,528,268,,260,,79,162,1354,18,1.24,0.5(BDL),39,0.39,38,3.1,3.57,,,,,,,,
2023-02-01 00:00:00,Chandapura lake,"E (Irrigation, Industrial cooling & Controlled Waste)",24,0.3(BDL),7.4,2380,36,7.6,,31000,70000,,3(BDL),580,26.9,5(BDL),580,464,295,27.8,21.4,636,324,,312,,35,273,1622,36,5.3,0.5(BDL),35,0.48,46,4.7,14.7,,,,,,,,
2023-03-01 00:00:00,Chandapura lake,"E (Irrigation, Industrial cooling & Controlled Waste)",24,0.3(BDL),7.19,2552,51,11,,140000,490000,,3(BDL),608,14,5(BDL),608,448,354,42,32,708,360,144,348,85,34,236,1736,150,0.96,0.5(BDL),28,0.67,45,5,2.97,,,,,,,,
2023-07-01 00:00:00,Chandapura lake,"E (Irrigation, Industrial cooling & Controlled Waste)",…..,0.3(BDL),7,2390,25,7.3,,220000,2400000,…....,3(BDL),620,8.5,5(BDL),620,408,313,…...,4.6,648,328,,320,,30,199,1630,…..,1.24,0.5(BDL),21,0.84,….,…..,…..,,,,,,,,
2023-09-01 00:00:00,Chandapura lake,"E (Irrigation, Industrial cooling & Controlled Waste)",…..,1.9,6.8,1813,29,5,,3100,35000,,3(BDL),400,20.3,5(BDL),400,332,196,,4.01,448,228,,220,,38,183,1232,,0.2(BDL),0.5(BDL),17,0.49,,,,,,,,,,,
2023-10-01 00:00:00,Chandapura lake,"E (Irrigation, Industrial cooling & Controlled Waste)",25,3.5,7.3,1180,10,5.6,,4300,92000,,3(BDL),340,12.8,5(BDL),340,156,92,,1.1,464,236,,228,,21,162,810,,1.2,0.5(BDL),30,0.1,41,3.3,2.9,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.012,0.03,0.009,0.082,0.245
2023-12-01 00:00:00,Chandapura lake,"E (Irrigation, Industrial cooling & Controlled Waste)",…..,2,7.8,1948,18,8.6,,230000,2400000,,3(BDL),528,9.8,5(BDL),528,436,117,3,2.6,476,240,,236,,47,163,1328,12,0.2(BDL),0.5(BDL),37,0.42,40,3.2,0.4,…..,…..,…..,…..,…..,…..,…..,…..
2024-04-01 00:00:00,Chandapura lake,"E (Irrigation, Industrial cooling & Controlled Waste)",28,0.3(BDL),7.1,2273,75,9.9,…..,1400,4900,,3(BDL),572,32,5(BDL),572,476,250,50,38,548,280,112,268,65,42,290,1548,46,6.3,0.5(BDL),40,0.39,51,7.5,15,,,,,,,,
2024-05-01 00:00:00,Chandapura lake,"E (Irrigation, Industrial cooling & Controlled Waste)",28,0.5,6.8,1614,39,2.84,…..,17000,48000,,3(BDL),316,3.9,5(BDL),316,220,200,8.9,6.6,180,96,…..,84,…..,12,129,1064,14,1.8,0.5(BDL),25,0.27,41,3,5.3,,,,,,,,
2024-06-01 00:00:00,Chandapura lake,"E (Irrigation, Industrial cooling & Controlled Waste)",…..,0.3(BDL),7,2081,26,7.2,0.02(BDL),92000,460000,,3(BDL),588,20.1,5(BDL),588,324,210,32.2,24.8,564,288,115.2,276,67.06,32,201,1412,26,2.7,0.5(BDL),26,0.71,42,3.7,7.6,,,,,,,,
2024-07-01 00:00:00,Chandapura lake,"E (Irrigation, Industrial cooling & Controlled Waste)",…..,0.3(BDL),6.9,2055,45,8.29,0.56,2100,13000,,3(BDL),516,30.6,5(BDL),516,396,252,12.9,33,572,292,116.8,280,68,40,116,1376,40,1.4,0.5(BDL),76,0.58,38,3,3.7,,,,,,,,
2024-08-01 00:00:00,Chandapura lake,"E (Irrigation, Industrial cooling & Controlled Waste)",22,2.9,6.9,705,28,2.5,0.72,840,9200,,3(BDL),84,9.6,5(BDL),84,100,184,13.2,8.6,184,100,40,84,20,34,68,474,12,0.2(BDL),0.5(BDL),25,0.34,41,2,0.31,,,,,,,,
2024-09-01 00:00:00,Chandapura lake,"E (Irrigation, Industrial cooling & Controlled Waste)",22,0.7,7.4,1910,41,5.9,0.02(BDL),110000,490000,,3(BDL),684,60,5(BDL),684,376,204,30,23,716,364,145.6,352,85.5,45,179,1308,82,0.2(BDL),0.5(BDL),30,0.27,34,3,0.9,,,,,,,,
2024-10-01 00:00:00,Chandapura lake,"E (Irrigation, Industrial cooling & Controlled Waste)",22,0.3(BDL),6.9,1873,79,4.7,0.52,1100000,4900000,,3(BDL),436,36.4,5(BDL),436,320,372,27.1,23.4,512,760,104,252,61,76,164,1284,42,1.49,0.5(BDL),37,0.42,39,3.15,4.35,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.258,0.859,0.207
2024-11-01 00:00:00,Chandapura lake,"E (Irrigation, Industrial cooling & Controlled Waste)",27,2.2,7.9,1996,27,0.7,0.02(BDL),11000,46000,,3(BDL),408,33,5(BDL),408,176,170,50,39,584,312,125,263,64,34,252,1357,54,0.36,0.5(BDL),30,0.27,47,4.5,0.89,,,,,,,,
2024-12-01 00:00:00,Chandapura lake,"E (Irrigation, Industrial cooling & Controlled Waste)",23,0.3(BDL),7.2,2120,7,9.5,0.6,14000,70000,,3(BDL),496,38,5(BDL),496,360,332,24,19,580,296,118.4,284,69.04,86,170,1456,44,0.79,0.5(BDL),42,0.49,37,3.08,2.19,,,,,,,,
2025-01-01 00:00:00,Chandapura lake,"E (Irrigation, Industrial cooling & Controlled Waste)",22,0.3(BDL),7.5,2880,62,9,0.02(BDL),17000,70000,,3(BDL),584,80.4,5(BDL),584,452,244,37.6,52,68,316,126.4,312,75.85,36,244,1600,26,3,0.5(BDL),34,0.28,44,4.2,7,,,,,,,,
2025-02-01 00:00:00,Chandapura lake,"E (Irrigation, Industrial cooling & Controlled Waste)",24,0.3(BDL),7.7,1368,25,5.25,0.02(BDL),1100,4900,,3(BDL),124,15.8,5(BDL),124,108,274,91.8,61,640,142,57,498,121,47,171,936,22,0.61,0.5(BDL),42,0.53,32,2.94,1.55,,,,,,,,
2025-03-01 00:00:00,Chandapura lake,"E (Irrigation, Industrial cooling & Controlled Waste)",24,2.1,7.6,1847,28,5.4,0.6,21000,70000,,3(BDL),420,7.2,5(BDL),420,404,201,28.2,24,468,240,96,228,55,…..,191,1256,10(BDL),1,0.5(BDL),33,0.59,45,3.8,0.05(BDL),,,,,,,,
2025-04-01 00:00:00,Chandapura lake,"D ((Propagation of wild life,fisheries)",22,5.3,6.9,1498,5,5.8,0.79,210,1200,,3(BDL),360,22.3,5(BDL),360,344,56,1.5(BDL),0.59,544,268,107,276,67,26,104,1020,10(BDL),0.2(BDL),0.5(BDL),12,0.45,0.34,2.45,0.44,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.07,0.00059(BDL),0.134,0.143
2025-05-01 00:00:00,Chandapura lake,"E (Irrigation, Industrial cooling & Controlled Waste)",20,0.3(BDL),7.4,1657,39,5.9,0.78,21000,170000,,3(BDL),396,30.6,5(BDL),396,372,272,26,29,516,264,106,252,64,37,131,1124,38,0.9,0.5(BDL),11,0.64,35,2.5,2.5,,,,,,,,
2025-06-01 00:00:00,Chandapura lake,"E (Irrigation, Industrial cooling & Controlled Waste)",20,0.8,7.7,2200,45,8.4,0.64,2100,17000,,3(BDL),508,13.9,5(BDL),508,360,256,14,10,600,304,122,296,72,90,182,1490,18,0.53,0.5(BDL),44,0.2(BDL),37,3.23,1.52,,,,,,,,
2025-07-01 00:00:00,Chandapura lake,"E (Irrigation, Industrial cooling & Controlled Waste)",20,0.8,8,2210,34,8.9,0.75,310,2800,,(BDL),384,6.2,(BDL),384,340,240,12,9.9,544,276,110.4,268,65.2,26,172,1498,32,0.52,(BDL),13,0.34,40,3.2,1.49,,,,,,,,
